1622	1622.trycycler.fasta
DAR76575	DAR76575_scaffolds.filter.fasta
DAR76576	DAR76576.trycycler.fasta
DAR76577	DAR76577.trycycler.fasta
DAR80975	DAR80975_scaffolds.filter.fasta
DAR82809	DAR82809_scaffolds.filter.fasta
DAR84823	DAR84823_scaffolds.filter.fasta
DAR84824	DAR84824.trycycler.fasta
DAR84825	DAR84825_scaffolds.filter.fasta
DAR84826	DAR84826_scaffolds.filter.fasta
DAR84827	DAR84827_scaffolds.filter.fasta
DAR84829	DAR84829_scaffolds.filter.fasta
DAR84830	DAR84830_scaffolds.filter.fasta
DAR84831	DAR84831_scaffolds.filter.fasta
DAR84847	DAR84847_scaffolds.filter.fasta
DAR84952	DAR84952_scaffolds.filter.fasta
MN05_4165_4960_1	MN05-4165-4960-1_scaffolds.filter.fasta
NCBI_03_1638_1_1_Xcc	NCBI_03-1638-1-1_Xcc.fasta
NCBI_1017_Xcglycine	NCBI_1017_Xcglycine.fasta
NCBI_1018_Xcglycine	NCBI_1018_Xcglycine.fasta
NCBI_1045_Xcglycine	NCBI_1045_Xcglycine.fasta
NCBI_1157_Xcglycine	NCBI_1157_Xcglycine.fasta
NCBI_12_2_Xcglycine	NCBI_12-2_Xcglycine.fasta
NCBI_12609_Xcglycine	NCBI_12609_Xcglycine.fasta
NCBI_1566_XcauB	NCBI_1566_XcauB.fasta
NCBI_5208_Xcc	NCBI_5208_Xcc.fasta
NCBI_A306_PTA	NCBI_A306_PTA.fasta
NCBI_AR81009_Xcmal	NCBI_AR81009_Xcmal.fasta
NCBI_AS270_PTAstar	NCBI_AS270_PTAstar.fasta
NCBI_ASM185414v2_8ra_Xcglycine	NCBI_ASM185414v2-8ra_Xcglycine.fasta
NCBI_ASM622854v1_859_Xcpunicae	NCBI_ASM622854v1-859_Xcpunicae.fasta
NCBI_Aw12879_PTAw	NCBI_Aw12879_PTAw.fasta
NCBI_Aw13_PTAw	NCBI_Aw13_PTAw.fasta
NCBI_Aw14_PTAw	NCBI_Aw14_PTAw.fasta
NCBI_Aw15_PTAw	NCBI_Aw15_PTAw.fasta
NCBI_Aw16_PTAw	NCBI_Aw16_PTAw.fasta
NCBI_B2_Xcc	NCBI_B2_Xcc.fasta
